Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Sucre, Manabi, Ecuador;-0,105480556;-80,15088333;Apidae;Apis mellifera
Sucre, Manabi, Ecuador;-0,105716667;-80,15075556;Apidae;Tetragonisca angustula
Jama, Canton of Jama, Manabi Province, Ecuador;-0,18333;-80,26667;Apidae;Apis mellifera
isla isabela;-0,829237;-91,135302;Apidae;Xylocopa darwini
Santa Cruz, GalÃ¡pagos, EC;-0,741832;-90,30868;Apidae;Xylocopa darwini
Floreana Island Galapagos;-1,226942;-90,425291;Apidae;Xylocopa darwini
Santa Cruz Island, Galapagos ;-0,615223;-90,31311;Apidae;Xylocopa darwini
Santa Cruz, GalÃ¡pagos Islands ;-0,953769;-90,965602;Apidae;Xylocopa darwini
Centro Historico, Cuenca, Ecuador;-2,897051532;-79,00449973;Apidae;Apis mellifera
Sucre, EC-MN, EC;-0,11600839;-80,12461707;Apidae;Apis mellifera
Sucre, Sucre, ManabÃ­, EC;-0,116403868;-80,1246181;Apidae;Apis mellifera
Aguarico, Parque Nacional YasunÃ­, EC-OR, EC;-0,6379449;-76,1496976;Apidae;Euglossa intersecta
Provincia de Napo, Ecuador;-0,599412;-77,890456;Apidae;Apis mellifera
Unnamed Road Ecuador;-0,892802517;-89,48368683;Apidae;Xylocopa darwini
10 Paseo 52 SE, Guayaquil, Guayas, EC;-2,252779263;-79,8857623;Apidae;Apis mellifera
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,742268511;-90,30379102;Apidae;Xylocopa darwini
Las Ninfas, Puerto Ayora, Ecuador;-0,745685022;-90,31695496;Apidae;Xylocopa darwini
Unnamed Road, Ecuador;-0,965373211;-91,01472057;Apidae;Xylocopa darwini
Santa Cruz Island, Ecuador;-0,6393592;-90,3371889;Apidae;Xylocopa darwini
Isabela, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,800586;-91,090028;Apidae;Xylocopa darwini
Carr. Panamericana, Ecuador;0,201303969;-78,23465183;Apidae;Apis mellifera
Provinz GalÃ¡pagos, Ecuador;-0,800945897;-91,08953476;Apidae;Xylocopa darwini
GalÃ¡pagos Islands, Ecuador;-0,819332446;-90,96679688;Apidae;Xylocopa darwini
GalÃ¡pagos Islands, Ecuador;-0,9537691;-90,9656019;Apidae;Xylocopa darwini
GalÃ¡pagos Islands, Ecuador;-0,392224086;-91,22555881;Apidae;Xylocopa darwini
Pichincha, Ecuador;-0,066656098;-78,76429081;Apidae;Apis mellifera
San Miguel de los Bancos, EC-PI, EC;-0,0565634;-78,7727244;Apidae;Bombus melaleucus
Pastaza, Pastaza, Pastaza, EC;-1,320158679;-76,53677645;Apidae;Euglossa intersecta
GalÃ¡pagos Islands, Ecuador;-0,895306667;-89,48183333;Apidae;Xylocopa darwini
Unnamed Road, Quito, Ecuador;-0,17258279;-78,45924385;Apidae;Bombus hortulanus
Provincia de Napo, Ecuador;-0,378061688;-78,1374177;Apidae;Bombus rubicundus
Papallacta, Ecuador;-0,375785;-78,14390833;Apidae;Bombus funebris
E38, Ecuador;-0,33428663;-79,75813293;Apidae;Apis mellifera
Isla Santiago, Ecuador;-0,2619838;-90,7152749;Apidae;Xylocopa darwini
Unnamed Road, Ecuador;-2,842844438;-79,15678952;Apidae;Bombus rubicundus
Pedro Moncayo, EC-PI, EC;0,1356305;-78,284775;Apidae;Bombus rubicundus
Antonio Gil, Puerto Villamil, Ecuador;-0,95614134;-90,96847024;Apidae;Xylocopa darwini
Distrito Metropolitano de Quito, Ecuador;-0,127580908;-78,59023809;Apidae;Bombus rubicundus
Chile, Quito 170401, Ecuador;-0,220012012;-78,51203408;Apidae;Apis mellifera
Galapagos Islands, Ecuador;-0,505383915;-90,47803888;Apidae;Xylocopa darwini
Santa FÃ© Island, Ecuador;-0,819877;-90,0653341;Apidae;Xylocopa darwini
Juana Becerra, Quito, Pichincha, EC;-0,107572167;-78,43828667;Apidae;Apis mellifera
Av Principal, Guayaquil, Guayas, EC;-2,181816915;-79,96940276;Apidae;Apis mellifera
6 CallejÃ³n 16A NE, Guayaquil, Guayas, EC;-2,138211094;-79,89461149;Apidae;Apis mellifera
San CristÃ³bal, Parque Nacional GalÃ¡pagos, GalÃ¡pagos, Ecuador;0,300751667;-89,95072;Apidae;Xylocopa darwini
Quito, Quito, Pichincha, EC;-0,185616178;-78,56981194;Apidae;Bombus rubicundus
Quito-Papallacta, Ecuador;-0,301151677;-78,24326299;Apidae;Bombus robustus
GalÃ¡pagos Islands, Ecuador;-0,40116;-90,70625667;Apidae;Xylocopa darwini
Pichincha, Ecuador;-0,059136667;-78,77115167;Apidae;Apis mellifera
Islas GalÃ¡pagos, San Cristobal, GalÃ¡pagos, EC;-0,899091667;-89,60437833;Apidae;Xylocopa darwini
Quito, EC-PI, EC;-0,458985977;-78,3230945;Apidae;Bombus funebris
SN Miguel Bancos, SN Miguel Bancos, Pichincha, EC;-0,070083333;-78,76219167;Apidae;Trigona ferricauda
Loja, Loja, Loja, EC;-3,710991667;-79,30253667;Apidae;Bombus rubicundus
Unnamed Road, 170184, Ecuador;-0,2289431;-78,3721199;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2289509;-78,3721174;Apidae;Apis mellifera
SucumbÃ­os Province, Ecuador;-0,467073469;-76,46196842;Apidae;Xylocopa frontalis
Unnamed Road, 170184, Ecuador;-0,2289518;-78,3721175;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2285661;-78,3717463;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,229318333;-78,3718;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,226011667;-78,372415;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,230930254;-78,36964417;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,227280073;-78,37267857;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2289525;-78,372129;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,229360061;-78,37191504;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,227585507;-78,37225948;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,22829461;-78,37210525;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2285352;-78,3717414;Apidae;Apis mellifera
Pichincha, Ecuador;-0,024546667;-78,724565;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,226686304;-78,37341148;Apidae;Apis mellifera
Unnamed Road, Quito 170160, Ecuador;-0,126915321;-78,30163121;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228285223;-78,37177534;Apidae;Apis mellifera
Quito, EC-PI, EC;-0,229091891;-78,37209854;Apidae;Apis mellifera
Av. Mariscal Sucre, Quito 170130, Ecuador;-0,218126733;-78,51941629;Apidae;Apis mellifera
El Tejar, JosÃ© LÃ³pez N5-85, Quito, Ecuador;-0,217376278;-78,51842996;Apidae;Anthophora pilifrons
Pastaza, EC-PA, EC;-1,095330004;-76,71629883;Apidae;Xylocopa muscaria
Unnamed Road, 170184, Ecuador;-0,228086531;-78,37197113;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,202646667;-78,452575;Apidae;Apis mellifera
Jose Vinueza, Quito 170184, Ecuador;-0,227181703;-78,37231445;Apidae;Apis mellifera
Unnamed Road, Quito 170146, Ecuador;-0,299451679;-78,53686523;Apidae;Bombus hortulanus
Quito, EC-PI, EC;-0,1973798;-78,4262155;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,197457505;-78,42610139;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,22837606;-78,37227986;Apidae;Apis mellifera
Pastaza, EC-PA, EC;-1,10487783;-76,73145294;Apidae;Xylocopa muscaria
Unnamed Road, 170184, Ecuador;-0,228519244;-78,37163351;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,229241159;-78,37072499;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228339537;-78,37166972;Apidae;Apis mellifera
Jose Vinueza, Quito 170184, Ecuador;-0,227816846;-78,37271579;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228486052;-78,37166201;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,227550639;-78,37224472;Apidae;Apis mellifera
Distrito Metropolitano de Quito, Ecuador;-0,228394444;-78,37161944;Apidae;Apis mellifera
Unnamed Road, Quito 170184, Ecuador;-0,225979969;-78,37226105;Apidae;Apis mellifera
Unnamed Road, Quito 170184, Ecuador;-0,226021633;-78,37231445;Apidae;Schonnherria
Unnamed Road, 170184, Ecuador;-0,2285173;-78,3717747;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228511667;-78,371685;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,228616808;-78,37152723;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2285422;-78,371767;Apidae;Apis mellifera
Av. Universitaria 137, Quito 170184, Ecuador;-0,225152762;-78,37116044;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228303998;-78,37160502;Apidae;Xylocopa
Quito, Quito, Pichincha, EC;-0,203246667;-78,45268833;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,22926456;-78,37168664;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228461241;-78,37177165;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,228523203;-78,37119902;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2282256;-78,3722403;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,2291656;-78,37189721;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,22918093;-78,3718746;Apidae;Apis mellifera
Unnamed Road, 170184, Ecuador;-0,228432314;-78,37166958;Apidae;Anthophora pilifrons
Conjunto Alborada,Quito, Ecuador;-0,114720685;-78,50441862;Apidae;Bombus hortulanus
Unnamed Road, 170184, Ecuador;-0,22845867;-78,37173843;Apidae;Apis mellifera
Jose Vinueza, Quito 170184, Ecuador;-0,227858084;-78,37252971;Apidae;Apis mellifera
Sangolqui, Ecuador;-0,338845;-78,433145;Apidae;Apis mellifera
Puerto Ayora, Ecuador;-0,748721845;-90,31440644;Apidae;Xylocopa darwini
Unnamed Road, 170184, Ecuador;-0,229053576;-78,37190823;Apidae;Nomada
Unnamed Road, 170184, Ecuador;-0,228323109;-78,3716315;Apidae;Apis mellifera
Av. Mariscal Sucre n276y, Quito 170130, Ecuador;-0,217127318;-78,51888243;Apidae;Anthophora pilifrons
Metropolitan District of Quito, Ecuador;-0,409758963;-78,36311476;Apidae;Bombus hortulanus
Metropolitan District of Quito, Ecuador;-0,409758963;-78,36311476;Apidae;Apis mellifera
San Miguel de Los Bancos, San Miguel de Los Bancos, Pichincha, EC;-0,101281252;-78,7209754;Apidae;Bombus hortulanus
El ChaquiÃ±an, Quito, Pichincha, EC;-0,193196667;-78,37342833;Apidae;Apis mellifera
Isla Isabela, Parque Nacional Islas GalÃ¡pagos, Ecuador;-0,957414812;-90,98549295;Apidae;Xylocopa darwini
Isla Isabela, Parque Nacional Islas GalÃ¡pagos, Ecuador;-0,957414812;-90,98549295;Apidae;Xylocopa darwini
Santa Cruz, Parque Nacional GalÃ¡pagos, EC-GA, EC;-0,741245;-90,307649;Apidae;Xylocopa darwini
Islas GalÃ¡pagos, San Cristobal, GalÃ¡pagos, EC;-0,901325;-89,60449167;Apidae;Xylocopa darwini
Pichincha, Ecuador;-0,059034132;-78,77117291;Apidae;Apis mellifera
De Los Nogales 2, Quito 170124, Ecuador;-0,144363237;-78,46252788;Apidae;Apis mellifera
Malchingui, Ecuador;0,117452848;-78,27055308;Apidae;Bombus rubicundus
Metropolitan District of Quito, Ecuador;-0,379852658;-78,39481445;Apidae;Bombus funebris
Ent CTE, Guayaquil 090513, Ecuador;-2,1411621;-79,881308;Apidae;Apis mellifera
9â° Peatonal 33, Guayaquil, Ecuador;-2,092222214;-79,92055511;Apidae;Apis mellifera
